record_id,date_id,city,country,continent,climate_zone,latitude,longitude,datetime,temperature_2m,temp_fahrenheit,apparent_temperature,feels_like_f,heat_index_c,wind_chill_c,dew_point_2m,relative_humidity_2m,precipitation,rain,snowfall,snow_depth,pressure_msl,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,et0_fao_evapotranspiration,weather_code,weather_description,weather_category,temp_category,wind_category,precip_intensity,humidity_comfort,radiation_level,time_of_day,comfort_index,temp_anomaly_c,temp_anomaly_std,is_extreme_heat,is_extreme_cold,is_heavy_rain,is_heavy_snow,is_high_wind,is_extreme_event,season,is_weekend,hour,year,month,quarter
W00399759,20200806,Toronto,Canada,North America,Humid Continental,43.65,-79.38,2020-08-06 14:00:00,22.3,72.1,21.9,71.4,22.3,22.3,10.9,49,0.0,0.0,0.0,0.0,1020.6,3,8.9,162,20.4,815.0,0.52,0,Clear Sky,Clear,Warm,Breeze,,Comfortable,Intense,Afternoon,91.6,0.71,0.19,0,0,0,0,0,0,Summer,0,14,2020,8,3
W00401398,20201013,Toronto,Canada,North America,Humid Continental,43.65,-79.38,2020-10-13 21:00:00,12.2,54.0,9.6,49.3,12.2,12.2,5.2,62,0.0,0.0,0.0,0.0,1013.5,13,6.2,249,12.5,0.0,0.03,0,Clear Sky,Clear,Cool,Breeze,,Humid,Night,Evening,64.5,0.46,0.1,0,0,0,0,0,0,Autumn,0,21,2020,10,4
W00855486,20220731,Madrid,Spain,Europe,Mediterranean,40.42,-3.7,2022-07-31 05:00:00,24.1,75.4,24.1,75.4,24.1,24.1,14.2,54,0.0,0.0,0.0,0.0,1017.6,3,5.9,37,9.2,0.0,0.06,0,Clear Sky,Clear,Warm,Breeze,,Humid,Night,Night,85.7,-3.55,-0.64,0,0,0,0,0,0,Summer,1,5,2022,7,3
W00858885,20221219,Madrid,Spain,Europe,Mediterranean,40.42,-3.7,2022-12-19 20:00:00,6.7,44.1,4.9,40.8,6.7,6.7,5.6,92,0.0,0.0,0.0,0.0,1026.2,77,2.9,23,4.0,0.0,0.0,2,Partly Cloudy,Cloudy,Cold,Calm,,Very Humid,Night,Evening,34.6,0.0,0.0,0,0,0,0,0,0,Winter,0,20,2022,12,4
W00503248,20220527,Mexico City,Mexico,North America,Subtropical Highland,19.43,-99.13,2022-05-27 15:00:00,29.0,84.2,23.8,74.8,27.4,29.0,-2.7,13,0.0,0.0,0.0,0.0,1010.0,81,17.9,36,30.2,920.0,0.81,3,Overcast,Cloudy,Warm,Moderate,,Dry,Intense,Afternoon,67.0,9.12,1.72,0,0,0,0,0,0,Spring,0,15,2022,5,2
W00864742,20230820,Madrid,Spain,Europe,Mediterranean,40.42,-3.7,2023-08-20 21:00:00,35.0,95.0,32.8,91.0,32.5,35.0,3.8,14,0.0,0.0,0.0,0.0,1016.3,31,2.8,256,7.2,57.0,0.08,1,Mainly Clear,Cloudy,Hot,Calm,,Dry,Low,Evening,56.6,8.33,1.48,0,0,0,0,0,0,Summer,1,21,2023,8,3
W00035033,20181230,New York,USA,North America,Humid Continental,40.71,-74.01,2018-12-30 16:00:00,5.4,41.7,1.7,35.1,5.4,3.6,-2.6,56,0.0,0.0,0.0,0.0,1021.9,99,5.1,225,9.6,78.0,0.07,3,Overcast,Cloudy,Cold,Breeze,,Humid,Low,Afternoon,47.7,1.96,0.37,0,0,0,0,0,0,Winter,1,16,2018,12,4
W00995704,20280728,Jakarta,Indonesia,Asia,Tropical Rainforest,-6.21,106.85,2028-07-28 15:00:00,29.0,84.2,29.0,84.2,32.9,29.0,23.1,71,0.0,0.0,0.0,0.0,1015.2,40,5.5,69,6.9,766.0,1.53,3,Overcast,Cloudy,Warm,Breeze,,Very Humid,High,Afternoon,62.8,3.61,0.75,0,0,0,0,0,0,Winter,0,15,2028,7,3
W00376762,20171222,Toronto,Canada,North America,Humid Continental,43.65,-79.38,2017-12-22 09:00:00,-5.4,22.3,-12.6,9.3,-5.4,-13.3,-7.6,85,1.0,0.0,0.7,0.0,1019.4,100,17.6,54,31.5,0.0,0.02,73,Moderate Snow,Snow,Freezing,Moderate,Light,Very Humid,Night,Morning,0.0,-5.95,-1.21,0,0,0,0,0,0,Winter,0,9,2017,12,4
W00811354,20170718,Madrid,Spain,Europe,Mediterranean,40.42,-3.7,2017-07-18 09:00:00,25.2,77.4,23.4,74.1,25.2,25.2,7.8,33,0.0,0.0,0.0,0.0,1014.6,0,5.1,92,11.2,192.0,0.18,0,Clear Sky,Clear,Warm,Breeze,,Comfortable,Low,Morning,84.9,-2.45,-0.44,0,0,0,0,0,0,Summer,0,9,2017,7,3
W00577746,20201124,London,UK,Europe,Oceanic,51.51,-0.13,2020-11-24 17:00:00,9.0,48.2,6.4,43.5,9.0,6.9,7.2,89,0.0,0.0,0.0,0.0,1014.1,79,8.1,172,15.4,26.0,0.01,2,Partly Cloudy,Cloudy,Cold,Breeze,,Very Humid,Low,Afternoon,40.4,0.93,0.24,0,0,0,0,0,0,Autumn,0,17,2020,11,4
W00659807,20200404,Paris,France,Europe,Oceanic,48.85,2.35,2020-04-04 22:00:00,10.1,50.2,6.7,44.1,10.1,10.1,2.8,61,0.0,0.0,0.0,0.0,1020.2,0,7.4,97,13.0,0.0,0.04,0,Clear Sky,Clear,Cool,Breeze,,Humid,Night,Evening,58.1,-0.84,-0.16,0,0,0,0,0,0,Spring,1,22,2020,4,2
W00219340,20200108,Houston,USA,North America,Humid Subtropical,29.76,-95.37,2020-01-08 03:00:00,5.4,41.7,2.3,36.1,5.4,3.0,3.2,85,0.0,0.0,0.0,0.0,1028.4,44,6.5,94,7.6,0.0,0.0,1,Mainly Clear,Cloudy,Cold,Breeze,,Very Humid,Night,Night,32.4,-6.29,-1.01,0,0,0,0,0,0,Winter,0,3,2020,1,1
W00979756,20261003,Cairo,Egypt,Africa,Desert,30.06,31.25,2026-10-03 03:00:00,26.7,80.1,26.7,80.1,26.7,26.7,17.0,51,0.47,0.47,0.0,0.0,1021.3,86,14.3,254,22.9,269.8,0.54,0,Clear Sky,Clear,Warm,Moderate,Light,Humid,Moderate,Night,75.2,17.32,3.47,1,0,0,0,0,1,Autumn,1,3,2026,10,4
W00625692,20160514,Paris,France,Europe,Oceanic,48.85,2.35,2016-05-14 11:00:00,11.3,52.3,7.5,45.5,11.3,11.3,5.6,68,0.0,0.0,0.0,0.0,1015.7,100,11.8,9,24.4,480.0,0.21,3,Overcast,Cloudy,Cool,Breeze,,Humid,Moderate,Morning,56.0,-3.35,-0.68,0,0,0,0,0,0,Spring,1,11,2016,5,2
W00215340,20190725,Houston,USA,North America,Humid Subtropical,29.76,-95.37,2019-07-25 11:00:00,27.5,81.5,29.2,84.6,28.1,27.5,17.0,53,0.0,0.0,0.0,0.0,1019.1,3,6.9,61,15.0,717.0,0.51,0,Clear Sky,Clear,Warm,Breeze,,Humid,High,Morning,75.6,-0.69,-0.21,0,0,0,0,0,0,Summer,0,11,2019,7,3
W00443418,20150730,Mexico City,Mexico,North America,Subtropical Highland,19.43,-99.13,2015-07-30 17:00:00,22.6,72.7,20.1,68.2,22.6,22.6,9.2,42,0.0,0.0,0.0,0.0,1014.5,67,9.6,33,20.4,387.0,0.33,2,Partly Cloudy,Cloudy,Warm,Breeze,,Comfortable,Moderate,Afternoon,90.4,5.37,1.44,0,0,0,0,0,0,Summer,0,17,2015,7,3
W00980329,20261027,Paris,France,Europe,Oceanic,48.85,2.35,2026-10-27 00:00:00,9.0,48.2,9.0,48.2,9.0,6.5,-4.2,34,0.0,0.0,0.0,0.0,1012.5,45,10.0,218,17.9,1.1,0.0,1,Mainly Clear,Cloudy,Cold,Breeze,,Comfortable,Low,Night,59.0,-3.92,-0.99,0,0,0,0,0,0,Autumn,0,0,2026,10,4
W00336984,20230609,Phoenix,USA,North America,Desert,33.45,-112.07,2023-06-09 23:00:00,27.9,82.2,23.9,75.0,26.5,27.9,-5.8,11,0.0,0.0,0.0,0.0,1008.7,0,5.0,8,6.3,0.0,0.12,0,Clear Sky,Clear,Warm,Calm,,Dry,Night,Evening,76.8,-5.69,-0.98,0,0,0,0,0,0,Summer,0,23,2023,6,2
W00518813,20240306,Mexico City,Mexico,North America,Subtropical Highland,19.43,-99.13,2024-03-06 04:00:00,12.4,54.3,9.7,49.5,12.4,12.4,2.9,52,0.0,0.0,0.0,0.0,1014.5,0,4.9,175,6.5,0.0,0.03,0,Clear Sky,Clear,Cool,Calm,,Humid,Night,Night,70.8,-5.28,-0.88,0,0,0,0,0,0,Spring,0,4,2024,3,1
W00943379,20220809,Paris,France,Europe,Oceanic,48.85,2.35,2022-08-09 10:00:00,19.2,66.6,19.2,66.6,19.2,19.2,14.9,78,0.0,0.0,0.0,0.0,1009.4,62,3.2,345,5.3,747.1,1.49,0,Clear Sky,Clear,Cool,Calm,,Very Humid,High,Morning,79.0,-1.16,-0.25,0,0,0,0,0,0,Summer,0,10,2022,8,3
W00002086,20150328,New York,USA,North America,Humid Continental,40.71,-74.01,2015-03-28 21:00:00,0.1,32.2,-5.7,21.7,0.1,-4.8,-8.7,52,0.0,0.0,0.0,0.01,1017.8,75,11.1,322,20.1,0.0,0.04,2,Partly Cloudy,Cloudy,Cold,Breeze,,Humid,Night,Evening,30.8,-5.04,-0.85,0,0,0,0,0,0,Spring,1,21,2015,3,1
W00663616,20200910,Paris,France,Europe,Oceanic,48.85,2.35,2020-09-10 15:00:00,24.1,75.4,24.2,75.6,24.1,24.1,14.8,56,0.0,0.0,0.0,0.0,1020.3,43,6.4,12,16.1,459.0,0.34,1,Mainly Clear,Cloudy,Warm,Breeze,,Humid,Moderate,Afternoon,84.5,7.17,1.53,0,0,0,0,0,0,Autumn,0,15,2020,9,3
W00677815,20220425,Paris,France,Europe,Oceanic,48.85,2.35,2022-04-25 06:00:00,8.7,47.7,6.4,43.5,8.7,7.1,6.4,86,0.6,0.6,0.0,0.0,1009.4,42,6.2,341,12.1,0.0,0.0,53,Moderate Drizzle,Drizzle,Cold,Breeze,Light,Very Humid,Night,Morning,42.0,-2.24,-0.44,0,0,0,0,0,0,Spring,0,6,2022,4,2
W00957738,20240329,Zurich,Switzerland,Europe,Oceanic,47.38,8.54,2024-03-29 17:00:00,16.2,61.2,16.2,61.2,16.2,16.2,11.1,75,0.0,0.0,0.0,0.0,1019.5,88,6.0,69,8.8,635.7,1.27,61,Slight Rain,Rain,Cool,Breeze,,Very Humid,High,Afternoon,70.1,1.79,0.33,0,0,0,0,0,0,Spring,0,17,2024,3,1
W00543083,20161211,London,UK,Europe,Oceanic,51.51,-0.13,2016-12-11 10:00:00,4.5,40.1,1.2,34.2,4.5,1.6,3.9,96,0.0,0.0,0.0,0.0,1024.9,3,7.7,260,14.1,30.0,0.0,0,Clear Sky,Clear,Cold,Breeze,,Very Humid,Low,Morning,23.6,-2.19,-0.55,0,0,0,0,0,0,Winter,1,10,2016,12,4
W00529928,20150612,London,UK,Europe,Oceanic,51.51,-0.13,2015-06-12 07:00:00,15.3,59.5,13.8,56.8,15.3,15.3,11.6,78,0.0,0.0,0.0,0.0,1010.5,84,8.5,45,16.6,158.0,0.09,3,Overcast,Cloudy,Cool,Breeze,,Very Humid,Low,Morning,64.6,-1.39,-0.31,0,0,0,0,0,0,Summer,0,7,2015,6,2
W00066337,20220727,New York,USA,North America,Humid Continental,40.71,-74.01,2022-07-27 00:00:00,21.0,69.8,21.9,71.4,21.0,21.0,15.9,73,0.0,0.0,0.0,0.0,1015.2,26,4.4,294,7.6,0.0,0.02,1,Mainly Clear,Cloudy,Warm,Calm,,Very Humid,Night,Night,86.3,-3.9,-1.05,0,0,0,0,0,0,Summer,0,0,2022,7,3
W00272967,20160219,Phoenix,USA,North America,Desert,33.45,-112.07,2016-02-19 14:00:00,26.5,79.7,23.2,73.8,26.5,26.5,-6.4,11,0.0,0.0,0.0,0.0,1014.5,91,5.6,203,11.9,704.0,0.53,3,Overcast,Cloudy,Warm,Breeze,,Dry,High,Afternoon,80.7,12.61,2.05,0,0,0,0,0,0,Winter,0,14,2016,2,1
W00876376,20241217,Madrid,Spain,Europe,Mediterranean,40.42,-3.7,2024-12-17 15:00:00,7.8,46.0,5.5,41.9,7.8,7.8,2.7,70,0.0,0.0,0.0,0.0,1035.0,22,2.5,129,9.2,424.0,0.18,1,Mainly Clear,Cloudy,Cold,Calm,,Humid,Moderate,Afternoon,49.2,1.1,0.29,0,0,0,0,0,0,Winter,0,15,2024,12,4
W00443182,20150720,Mexico City,Mexico,North America,Subtropical Highland,19.43,-99.13,2015-07-20 21:00:00,16.8,62.2,16.6,61.9,16.8,16.8,10.4,66,0.0,0.0,0.0,0.0,1018.2,94,1.7,23,5.6,0.0,0.0,3,Overcast,Cloudy,Cool,Calm,,Humid,Night,Evening,78.6,-0.43,-0.12,0,0,0,0,0,0,Summer,0,21,2015,7,3
W00038748,20190603,New York,USA,North America,Humid Continental,40.71,-74.01,2019-06-03 11:00:00,19.3,66.7,16.7,62.1,19.3,19.3,7.2,45,0.0,0.0,0.0,0.0,1012.4,64,12.8,273,22.6,782.0,0.46,2,Partly Cloudy,Cloudy,Cool,Moderate,,Comfortable,High,Morning,88.5,-2.18,-0.48,0,0,0,0,0,0,Summer,0,11,2019,6,2
W00244519,20221122,Houston,USA,North America,Humid Subtropical,29.76,-95.37,2022-11-22 06:00:00,7.8,46.0,5.4,41.7,7.8,5.8,6.6,91,0.0,0.0,0.0,0.0,1026.8,100,6.8,17,11.6,0.0,0.0,3,Overcast,Cloudy,Cold,Breeze,,Very Humid,Night,Morning,36.5,-9.09,-1.49,0,0,0,0,0,0,Autumn,0,6,2022,11,4
W00321942,20210921,Phoenix,USA,North America,Desert,33.45,-112.07,2021-09-21 05:00:00,21.8,71.2,20.6,69.1,21.8,21.8,9.4,45,0.0,0.0,0.0,0.0,1016.0,0,4.1,84,4.5,0.0,0.05,0,Clear Sky,Clear,Warm,Calm,,Comfortable,Night,Night,95.6,-9.06,-1.49,0,0,0,0,0,0,Autumn,0,5,2021,9,3
W00212424,20190325,Houston,USA,North America,Humid Subtropical,29.76,-95.37,2019-03-25 23:00:00,18.8,65.8,17.4,63.3,18.8,18.8,11.8,64,0.0,0.0,0.0,0.0,1021.4,71,7.9,16,14.5,0.0,0.05,2,Partly Cloudy,Cloudy,Cool,Breeze,,Humid,Night,Evening,82.4,0.89,0.17,0,0,0,0,0,0,Spring,0,23,2019,3,1
W00684488,20230128,Paris,France,Europe,Oceanic,48.85,2.35,2023-01-28 07:00:00,2.3,36.1,-2.7,27.1,2.3,-2.2,-0.5,81,0.0,0.0,0.0,0.0,1028.4,91,11.9,13,21.7,0.0,0.01,3,Overcast,Cloudy,Cold,Breeze,,Very Humid,Night,Morning,22.5,-2.25,-0.53,0,0,0,0,0,0,Winter,1,7,2023,1,1
W00460022,20170621,Mexico City,Mexico,North America,Subtropical Highland,19.43,-99.13,2017-06-21 13:00:00,25.7,78.3,25.7,78.3,25.7,25.7,1.0,20,0.0,0.0,0.0,0.0,1011.5,3,4.8,28,14.8,1068.0,0.77,0,Clear Sky,Clear,Warm,Calm,,Dry,Intense,Afternoon,83.5,7.01,1.48,0,0,0,0,0,0,Summer,0,13,2017,6,2
W00330798,20220925,Phoenix,USA,North America,Desert,33.45,-112.07,2022-09-25 05:00:00,23.1,73.6,23.6,74.5,23.1,23.1,14.4,58,0.0,0.0,0.0,0.0,1012.2,0,4.4,345,8.5,0.0,0.04,0,Clear Sky,Clear,Warm,Calm,,Humid,Night,Night,87.5,-7.76,-1.27,0,0,0,0,0,0,Autumn,1,5,2022,9,3
W00820288,20180725,Madrid,Spain,Europe,Mediterranean,40.42,-3.7,2018-07-25 15:00:00,32.8,91.0,32.5,90.5,30.7,32.8,5.8,19,0.0,0.0,0.0,0.0,1012.9,0,6.7,206,17.0,954.0,0.78,0,Clear Sky,Clear,Hot,Breeze,,Dry,Intense,Afternoon,61.3,5.15,0.92,0,0,0,0,0,0,Summer,0,15,2018,7,3
W00934969,20210824,Honolulu,USA,Oceania,Tropical Savanna,21.31,-157.86,2021-08-24 00:00:00,15.2,59.4,15.2,59.4,15.2,15.2,5.9,53,0.0,0.0,0.0,0.0,1001.2,57,9.8,59,14.2,0.0,0.0,0,Clear Sky,Clear,Cool,Breeze,,Humid,Night,Night,76.2,-6.41,-1.23,0,0,0,0,0,0,Summer,0,0,2021,8,3
W00878903,20150401,Kuala Lumpur,Malaysia,Asia,Tropical Rainforest,3.14,101.69,2015-04-01 22:00:00,20.1,68.2,18.1,64.6,20.1,20.1,9.8,49,0.0,0.0,0.0,0.0,1009.5,60,16.2,239,27.1,238.2,0.48,2,Partly Cloudy,Cloudy,Warm,Moderate,,Comfortable,Moderate,Evening,89.2,-0.69,-0.13,0,0,0,0,0,0,Spring,0,22,2015,4,2
W00507015,20221031,Mexico City,Mexico,North America,Subtropical Highland,19.43,-99.13,2022-10-31 14:00:00,23.5,74.3,23.9,75.0,23.5,23.5,9.1,40,0.0,0.0,0.0,0.0,1009.9,60,1.7,247,13.9,701.0,0.49,2,Partly Cloudy,Cloudy,Warm,Calm,,Comfortable,High,Afternoon,91.6,7.66,1.81,0,0,0,0,0,0,Autumn,0,14,2022,10,4
W00063469,20220329,New York,USA,North America,Humid Continental,40.71,-74.01,2022-03-29 12:00:00,2.6,36.7,-3.4,25.9,2.6,-2.6,-10.2,38,0.0,0.0,0.0,0.0,1020.8,100,15.6,308,28.2,762.0,0.23,3,Overcast,Cloudy,Cold,Moderate,,Comfortable,High,Afternoon,37.0,-2.54,-0.43,0,0,0,0,0,0,Spring,0,12,2022,3,1
W00568671,20191112,London,UK,Europe,Oceanic,51.51,-0.13,2019-11-12 14:00:00,7.8,46.0,2.5,36.5,7.8,4.1,2.5,69,0.3,0.3,0.0,0.0,997.1,97,15.5,248,29.8,179.0,0.1,51,Light Drizzle,Drizzle,Cold,Moderate,Light,Humid,Low,Afternoon,43.2,-0.27,-0.07,0,0,0,0,0,0,Autumn,0,14,2019,11,4
W00855772,20220812,Madrid,Spain,Europe,Mediterranean,40.42,-3.7,2022-08-12 03:00:00,26.2,79.2,25.4,77.7,26.2,26.2,10.6,38,0.0,0.0,0.0,0.0,1014.4,0,4.6,133,9.2,0.0,0.07,0,Clear Sky,Clear,Warm,Calm,,Comfortable,Night,Night,82.1,-0.47,-0.08,0,0,0,0,0,0,Summer,0,3,2022,8,3
W00606373,20240301,London,UK,Europe,Oceanic,51.51,-0.13,2024-03-01 12:00:00,6.4,43.5,0.6,33.1,6.4,1.9,3.2,80,0.5,0.5,0.0,0.0,990.2,61,18.2,209,35.3,317.0,0.1,53,Moderate Drizzle,Drizzle,Cold,Moderate,Light,Very Humid,Moderate,Afternoon,32.1,-1.12,-0.29,0,0,0,0,0,0,Spring,0,12,2024,3,1
W00358901,20151209,Toronto,Canada,North America,Humid Continental,43.65,-79.38,2015-12-09 04:00:00,5.8,42.4,2.9,37.2,5.8,3.6,4.2,89,0.0,0.0,0.0,0.0,1014.5,94,6.3,186,10.5,0.0,0.0,3,Overcast,Cloudy,Cold,Breeze,,Very Humid,Night,Night,31.8,5.25,1.07,0,0,0,0,0,0,Winter,0,4,2015,12,4
W00178393,20150508,Houston,USA,North America,Humid Subtropical,29.76,-95.37,2015-05-08 00:00:00,23.8,74.8,26.7,80.1,23.8,23.8,22.6,93,0.0,0.0,0.0,0.0,1013.5,91,9.8,139,19.2,0.0,0.01,3,Overcast,Cloudy,Warm,Breeze,,Very Humid,Night,Night,65.2,-0.59,-0.16,0,0,0,0,0,0,Spring,0,0,2015,5,2
W00921915,20200227,Santiago,Chile,South America,Mediterranean,-33.46,-70.65,2020-02-27 02:00:00,3.1,37.6,3.1,37.6,3.1,-0.9,-7.8,46,0.0,0.0,0.0,0.0,1025.3,35,10.4,354,19.6,279.2,0.56,0,Clear Sky,Clear,Cold,Breeze,,Comfortable,Moderate,Night,41.1,-5.63,-1.15,0,0,0,0,0,0,Summer,0,2,2020,2,1
W00348366,20240926,Phoenix,USA,North America,Desert,33.45,-112.07,2024-09-26 05:00:00,26.5,79.7,23.6,74.5,26.5,26.5,4.2,24,0.0,0.0,0.0,0.0,1006.1,0,6.9,70,9.4,0.0,0.14,0,Clear Sky,Clear,Warm,Breeze,,Dry,Night,Night,80.0,-4.36,-0.71,0,0,0,0,0,0,Autumn,0,5,2024,9,3
W00377483,20180121,Toronto,Canada,North America,Humid Continental,43.65,-79.38,2018-01-21 10:00:00,-0.4,31.3,-3.7,25.3,-0.4,-2.5,-2.0,89,0.0,0.0,0.0,0.0,1019.9,66,3.8,201,8.3,60.0,0.01,2,Partly Cloudy,Cloudy,Freezing,Calm,,Very Humid,Low,Morning,14.4,2.67,0.45,0,0,0,0,0,0,Winter,1,10,2018,1,1
W00044793,20200210,New York,USA,North America,Humid Continental,40.71,-74.01,2020-02-10 08:00:00,4.3,39.7,-0.1,31.8,4.3,0.3,3.0,91,0.9,0.9,0.0,0.0,1022.5,100,11.9,208,21.0,0.0,0.0,53,Moderate Drizzle,Drizzle,Cold,Breeze,Light,Very Humid,Night,Morning,23.5,2.9,0.45,0,0,0,0,0,0,Winter,0,8,2020,2,1
W00690928,20231023,Paris,France,Europe,Oceanic,48.85,2.35,2023-10-23 15:00:00,11.3,52.3,10.1,50.2,11.3,11.3,10.0,92,0.7,0.7,0.0,0.0,1004.6,100,5.0,80,13.0,41.0,0.04,53,Moderate Drizzle,Drizzle,Cool,Calm,Light,Very Humid,Low,Afternoon,47.4,-1.62,-0.41,0,0,0,0,0,0,Autumn,0,15,2023,10,4
W00050314,20200927,New York,USA,North America,Humid Continental,40.71,-74.01,2020-09-27 09:00:00,20.5,68.9,23.3,73.9,20.5,20.5,19.2,93,0.0,0.0,0.0,0.0,1016.8,100,2.7,81,7.2,138.0,0.08,3,Overcast,Cloudy,Warm,Calm,,Very Humid,Low,Morning,75.6,0.26,0.06,0,0,0,0,0,0,Autumn,1,9,2020,9,3
W00780882,20240126,Berlin,Germany,Europe,Oceanic,52.52,13.4,2024-01-26 17:00:00,9.1,48.4,4.0,39.2,9.1,5.4,7.2,88,0.4,0.4,0.0,0.0,1014.3,100,18.3,262,31.8,31.0,0.04,51,Light Drizzle,Drizzle,Cold,Moderate,Light,Very Humid,Low,Afternoon,36.2,7.18,1.72,0,0,0,0,0,0,Winter,0,17,2024,1,1
W00018959,20170228,New York,USA,North America,Humid Continental,40.71,-74.01,2017-02-28 22:00:00,9.3,48.7,8.1,46.6,9.3,8.7,8.9,98,0.2,0.2,0.0,0.0,1019.3,100,3.7,163,12.1,0.0,0.0,51,Light Drizzle,Drizzle,Cold,Calm,Light,Very Humid,Night,Evening,39.1,7.9,1.24,0,0,0,0,0,0,Winter,0,22,2017,2,1
W00804704,20161014,Madrid,Spain,Europe,Mediterranean,40.42,-3.7,2016-10-14 07:00:00,9.7,49.5,8.8,47.8,9.7,9.7,8.6,93,0.0,0.0,0.0,0.0,1004.2,11,2.5,315,5.1,0.0,0.0,0,Clear Sky,Clear,Cold,Calm,,Very Humid,Night,Morning,43.3,-5.99,-1.16,0,0,0,0,0,0,Autumn,0,7,2016,10,4
