city,country,continent,climate_zone,month,season,avg_temp,avg_max_temp,avg_min_temp,avg_humidity,avg_precip,total_precip,avg_wind,avg_comfort,extreme_events
Auckland,New Zealand,Oceania,Oceanic,6,Winter,26.68,41.1,14.6,53.34,0.05,9.91,9.96,71.68,5
Auckland,New Zealand,Oceania,Oceanic,7,Winter,25.29,41.0,8.7,50.96,0.04,9.07,10.35,73.81,4
Auckland,New Zealand,Oceania,Oceanic,8,Winter,21.07,36.1,6.6,50.58,0.04,9.14,10.03,79.34,4
Auckland,New Zealand,Oceania,Oceanic,9,Spring,14.84,28.0,-0.1,49.23,0.03,6.9,10.31,71.43,5
Auckland,New Zealand,Oceania,Oceanic,10,Spring,8.45,19.3,-7.0,49.39,0.07,14.05,9.56,54.12,3
Auckland,New Zealand,Oceania,Oceanic,11,Spring,5.11,19.0,-8.8,52.16,0.06,11.44,10.61,42.81,2
Auckland,New Zealand,Oceania,Oceanic,12,Summer,3.82,20.7,-8.5,50.76,0.04,8.96,10.41,38.95,5
Bangalore,India,Asia,Tropical Savanna,1,Winter,4.98,17.4,-8.5,48.78,0.05,10.55,9.96,43.52,3
Bangalore,India,Asia,Tropical Savanna,2,Winter,8.8,18.8,-4.6,51.67,0.05,9.09,10.06,54.33,3
Bangalore,India,Asia,Tropical Savanna,3,Spring,14.92,36.0,-4.3,50.03,0.04,7.76,10.3,70.66,3
Bangalore,India,Asia,Tropical Savanna,4,Spring,20.87,34.1,8.7,51.58,0.07,13.96,10.83,78.74,2
Bangalore,India,Asia,Tropical Savanna,5,Spring,25.55,38.8,11.4,52.11,0.04,8.36,10.63,73.34,1
Bangalore,India,Asia,Tropical Savanna,6,Summer,26.53,38.9,9.3,49.47,0.05,10.87,9.32,72.53,2
Bangalore,India,Asia,Tropical Savanna,7,Summer,25.47,39.7,12.4,48.61,0.05,9.61,10.37,74.99,3
Bangalore,India,Asia,Tropical Savanna,8,Summer,20.94,35.7,5.4,51.8,0.05,9.93,10.19,78.59,3
Bangalore,India,Asia,Tropical Savanna,9,Autumn,15.42,27.8,0.2,50.98,0.04,7.69,9.73,71.75,3
Bangalore,India,Asia,Tropical Savanna,10,Autumn,9.33,20.6,-6.4,49.43,0.05,9.97,10.21,56.37,1
Bangalore,India,Asia,Tropical Savanna,11,Autumn,4.77,20.3,-7.5,53.0,0.04,9.06,10.61,41.25,4
Bangalore,India,Asia,Tropical Savanna,12,Winter,3.09,16.0,-12.7,51.94,0.04,9.32,10.51,36.56,3
Bangkok,Thailand,Asia,Tropical Savanna,1,Winter,3.99,18.3,-7.7,49.9,0.06,13.44,10.72,39.51,2
Bangkok,Thailand,Asia,Tropical Savanna,2,Winter,9.6,25.9,-3.9,51.64,0.04,8.42,10.09,56.18,3
Bangkok,Thailand,Asia,Tropical Savanna,3,Spring,15.27,28.9,1.0,51.5,0.04,9.17,9.83,72.24,5
Bangkok,Thailand,Asia,Tropical Savanna,4,Spring,21.46,39.8,6.3,48.66,0.05,9.33,9.51,79.41,4
Bangkok,Thailand,Asia,Tropical Savanna,5,Spring,25.62,37.7,9.1,51.57,0.03,6.83,9.89,73.71,2
Bangkok,Thailand,Asia,Tropical Savanna,6,Summer,26.52,37.5,13.3,51.32,0.06,12.45,10.55,72.61,2
Bangkok,Thailand,Asia,Tropical Savanna,7,Summer,25.61,37.8,9.5,51.8,0.03,7.15,10.42,73.74,3
Bangkok,Thailand,Asia,Tropical Savanna,8,Summer,21.85,35.1,7.8,50.94,0.04,7.61,9.75,79.42,2
Bangkok,Thailand,Asia,Tropical Savanna,9,Autumn,15.09,29.2,2.5,50.67,0.05,9.12,10.82,71.9,2
Bangkok,Thailand,Asia,Tropical Savanna,10,Autumn,8.82,19.8,-3.8,50.5,0.04,8.17,9.95,54.74,1
Bangkok,Thailand,Asia,Tropical Savanna,11,Autumn,4.65,20.4,-7.7,47.83,0.05,9.59,10.6,42.14,2
Bangkok,Thailand,Asia,Tropical Savanna,12,Winter,2.6,18.8,-11.4,52.54,0.06,11.84,9.87,35.46,3
Beijing,China,Asia,Humid Continental,1,Winter,5.15,17.3,-5.7,48.47,0.03,7.06,9.49,44.04,1
Beijing,China,Asia,Humid Continental,2,Winter,9.57,21.4,0.2,49.7,0.04,6.77,9.96,56.97,0
Beijing,China,Asia,Humid Continental,3,Spring,14.92,29.2,1.3,52.2,0.04,7.56,10.33,70.82,6
Beijing,China,Asia,Humid Continental,4,Spring,20.92,39.0,4.4,54.34,0.04,7.84,9.76,77.7,4
Beijing,China,Asia,Humid Continental,5,Spring,25.43,38.0,14.3,49.42,0.06,12.77,10.14,75.22,1
Beijing,China,Asia,Humid Continental,6,Summer,27.02,40.3,9.9,50.87,0.06,11.21,10.23,70.0,1
Beijing,China,Asia,Humid Continental,7,Summer,25.08,34.8,13.1,49.23,0.03,5.95,9.94,75.37,0
Beijing,China,Asia,Humid Continental,8,Summer,20.29,33.9,5.5,50.23,0.04,8.36,10.57,77.8,3
Beijing,China,Asia,Humid Continental,9,Autumn,14.69,27.7,0.3,50.26,0.03,6.04,10.06,70.78,1
Beijing,China,Asia,Humid Continental,10,Autumn,9.63,21.1,-3.6,50.72,0.08,15.94,10.86,56.24,1
Beijing,China,Asia,Humid Continental,11,Autumn,4.26,17.6,-6.6,50.71,0.03,6.37,9.93,40.81,2
Beijing,China,Asia,Humid Continental,12,Winter,3.1,18.8,-10.6,50.15,0.06,13.07,10.47,37.11,3
Berlin,Germany,Europe,Oceanic,1,Winter,1.92,23.9,-12.7,84.0,0.08,578.69,9.76,20.94,108
Berlin,Germany,Europe,Oceanic,2,Winter,3.08,19.8,-14.9,79.63,0.07,491.8,9.64,26.82,159
Berlin,Germany,Europe,Oceanic,3,Spring,5.48,29.6,-12.4,75.01,0.06,462.93,8.65,36.21,158
Berlin,Germany,Europe,Oceanic,4,Spring,9.51,31.8,-3.5,68.41,0.05,336.62,8.56,50.91,93
Berlin,Germany,Europe,Oceanic,5,Spring,14.75,41.3,0.0,64.5,0.06,431.49,8.22,66.26,103
Berlin,Germany,Europe,Oceanic,6,Summer,19.57,38.6,6.9,62.51,0.1,718.33,7.5,75.59,113
Berlin,Germany,Europe,Oceanic,7,Summer,20.16,37.7,8.6,64.25,0.09,659.29,7.62,76.23,103
Berlin,Germany,Europe,Oceanic,8,Summer,20.64,37.1,8.1,64.53,0.06,476.87,7.2,76.05,100
Berlin,Germany,Europe,Oceanic,9,Autumn,16.17,33.7,3.5,70.24,0.06,408.44,7.69,67.93,147
Berlin,Germany,Europe,Oceanic,10,Autumn,11.03,24.6,-11.8,80.73,0.07,568.12,8.46,50.28,137
Berlin,Germany,Europe,Oceanic,11,Autumn,5.81,19.8,-8.5,85.68,0.07,498.02,8.45,32.26,58
Berlin,Germany,Europe,Oceanic,12,Winter,3.45,17.9,-12.6,86.58,0.07,521.31,9.17,24.47,121
Bogota,Colombia,South America,Subtropical Highland,1,Winter,4.62,19.2,-10.8,49.28,0.05,9.98,10.33,41.78,5
Bogota,Colombia,South America,Subtropical Highland,2,Winter,8.9,19.8,-3.7,51.84,0.05,8.67,10.87,53.78,1
Bogota,Colombia,South America,Subtropical Highland,3,Spring,14.98,28.5,0.9,50.21,0.03,6.51,9.47,71.99,4
Bogota,Colombia,South America,Subtropical Highland,4,Spring,20.89,32.9,6.2,49.17,0.03,6.91,10.73,79.47,1
Bogota,Colombia,South America,Subtropical Highland,5,Spring,25.71,39.4,14.4,50.81,0.04,8.46,9.93,74.13,2
Bogota,Colombia,South America,Subtropical Highland,6,Summer,27.26,41.8,11.4,51.06,0.03,6.77,10.5,69.89,4
Bogota,Colombia,South America,Subtropical Highland,7,Summer,24.64,36.4,6.5,49.99,0.03,6.78,10.04,76.6,1
Bogota,Colombia,South America,Subtropical Highland,8,Summer,21.62,35.6,10.0,50.22,0.05,10.03,10.15,78.94,1
Bogota,Colombia,South America,Subtropical Highland,9,Autumn,14.66,26.6,2.2,50.52,0.04,8.0,9.67,71.24,2
Bogota,Colombia,South America,Subtropical Highland,10,Autumn,8.68,31.4,-3.4,50.97,0.06,12.55,10.35,53.36,2
Bogota,Colombia,South America,Subtropical Highland,11,Autumn,4.7,17.8,-8.2,49.36,0.04,8.16,10.79,41.84,1
Bogota,Colombia,South America,Subtropical Highland,12,Winter,2.97,18.7,-17.0,50.97,0.03,5.48,9.36,37.35,4
Buenos Aires,Argentina,South America,Humid Subtropical,1,Summer,4.57,19.3,-7.9,51.34,0.04,8.67,10.4,40.98,2
Buenos Aires,Argentina,South America,Humid Subtropical,2,Summer,9.14,23.8,-7.3,52.02,0.06,10.51,10.12,54.84,4
Buenos Aires,Argentina,South America,Humid Subtropical,3,Autumn,14.87,29.7,0.4,49.31,0.04,7.74,9.91,70.72,2
Buenos Aires,Argentina,South America,Humid Subtropical,4,Autumn,21.03,38.5,9.9,52.39,0.05,10.91,10.17,78.05,2
Buenos Aires,Argentina,South America,Humid Subtropical,5,Autumn,25.59,42.4,13.0,50.57,0.05,9.65,10.26,74.15,3
Buenos Aires,Argentina,South America,Humid Subtropical,6,Winter,26.48,37.1,14.6,51.38,0.04,9.07,10.04,72.19,0
Buenos Aires,Argentina,South America,Humid Subtropical,7,Winter,25.38,36.4,12.0,50.49,0.05,9.98,10.3,75.3,2
Buenos Aires,Argentina,South America,Humid Subtropical,8,Winter,21.16,35.1,6.4,51.53,0.06,13.16,10.24,79.02,3
Buenos Aires,Argentina,South America,Humid Subtropical,9,Spring,14.32,28.0,-7.3,50.75,0.05,10.17,9.79,69.35,2
Buenos Aires,Argentina,South America,Humid Subtropical,10,Spring,9.54,26.6,-6.1,49.04,0.04,7.63,10.35,56.69,2
Buenos Aires,Argentina,South America,Humid Subtropical,11,Spring,5.23,18.6,-7.3,50.58,0.05,10.61,10.29,43.64,2
Buenos Aires,Argentina,South America,Humid Subtropical,12,Summer,3.17,16.4,-7.0,50.52,0.04,9.18,10.28,37.19,1
Cairo,Egypt,Africa,Desert,1,Winter,4.12,15.9,-10.8,51.05,0.05,9.88,10.4,40.31,5
Cairo,Egypt,Africa,Desert,2,Winter,8.71,23.6,-3.3,49.68,0.05,8.59,9.74,53.98,2
Cairo,Egypt,Africa,Desert,3,Spring,14.79,29.8,-1.2,47.13,0.05,10.76,9.88,71.07,4
Cairo,Egypt,Africa,Desert,4,Spring,21.08,34.0,8.0,51.54,0.04,8.09,10.06,78.39,2
Cairo,Egypt,Africa,Desert,5,Spring,25.59,35.6,13.4,50.77,0.04,8.57,9.56,74.72,1
Cairo,Egypt,Africa,Desert,6,Summer,27.27,39.4,15.2,48.87,0.07,13.83,10.46,70.74,0
Cairo,Egypt,Africa,Desert,7,Summer,25.81,37.6,10.8,50.95,0.04,7.77,9.96,73.69,1
Cairo,Egypt,Africa,Desert,8,Summer,20.69,33.5,8.4,53.24,0.04,9.02,10.53,78.13,3
Cairo,Egypt,Africa,Desert,9,Autumn,14.73,27.5,-0.8,48.65,0.04,8.42,9.62,71.99,4
Cairo,Egypt,Africa,Desert,10,Autumn,9.38,26.7,-4.6,50.74,0.04,8.67,9.95,55.56,4
Cairo,Egypt,Africa,Desert,11,Autumn,4.52,16.9,-9.2,51.3,0.05,9.45,9.97,41.15,4
Cairo,Egypt,Africa,Desert,12,Winter,2.78,15.9,-9.8,48.74,0.05,9.72,9.97,36.9,2
Casablanca,Morocco,Africa,Mediterranean,1,Winter,4.19,17.4,-8.2,51.31,0.03,7.32,10.04,40.29,2
Casablanca,Morocco,Africa,Mediterranean,2,Winter,9.26,20.3,-6.2,50.68,0.04,8.39,11.13,54.87,1
Casablanca,Morocco,Africa,Mediterranean,3,Spring,15.07,27.2,0.6,51.87,0.07,13.59,9.98,71.37,2
Casablanca,Morocco,Africa,Mediterranean,4,Spring,20.5,33.8,9.1,49.87,0.04,7.15,11.01,78.75,1
Casablanca,Morocco,Africa,Mediterranean,5,Spring,25.65,37.9,13.4,50.37,0.03,6.18,10.22,73.96,2
Casablanca,Morocco,Africa,Mediterranean,6,Summer,27.22,39.3,9.9,49.19,0.05,10.51,10.02,70.89,2
Casablanca,Morocco,Africa,Mediterranean,7,Summer,25.36,37.4,11.2,53.34,0.03,6.19,9.52,74.06,2
Casablanca,Morocco,Africa,Mediterranean,8,Summer,20.58,36.0,6.2,49.0,0.05,11.37,9.92,79.42,3
Casablanca,Morocco,Africa,Mediterranean,9,Autumn,15.42,30.9,2.5,50.46,0.03,6.58,10.38,71.14,1
Casablanca,Morocco,Africa,Mediterranean,10,Autumn,8.73,21.2,-6.1,48.71,0.04,7.88,10.27,54.55,3
Casablanca,Morocco,Africa,Mediterranean,11,Autumn,4.76,16.8,-11.1,50.98,0.06,11.65,10.27,42.21,1
Casablanca,Morocco,Africa,Mediterranean,12,Winter,3.15,16.4,-10.8,50.01,0.06,11.57,9.83,37.98,3
Chicago,USA,North America,Humid Continental,1,Winter,-3.1,18.0,-32.5,75.37,0.09,658.35,11.35,13.01,146
Chicago,USA,North America,Humid Continental,2,Winter,-1.98,23.1,-22.9,72.42,0.09,605.78,11.85,16.79,84
Chicago,USA,North America,Humid Continental,3,Spring,3.27,26.6,-19.0,73.09,0.12,891.92,11.48,29.31,199
Chicago,USA,North America,Humid Continental,4,Spring,8.39,39.5,-7.2,71.99,0.14,1023.22,11.42,44.24,130
Chicago,USA,North America,Humid Continental,5,Spring,14.64,38.1,-1.2,74.8,0.17,1336.17,10.34,59.4,47
Chicago,USA,North America,Humid Continental,6,Summer,20.59,41.1,7.4,72.69,0.15,1118.84,9.57,70.59,78
Chicago,USA,North America,Humid Continental,7,Summer,22.89,37.6,12.4,76.16,0.2,1535.15,8.43,72.46,81
Chicago,USA,North America,Humid Continental,8,Summer,22.56,37.0,4.7,75.0,0.14,1076.03,8.45,73.71,134
Chicago,USA,North America,Humid Continental,9,Autumn,19.73,34.6,1.8,73.37,0.13,970.08,9.74,72.04,103
Chicago,USA,North America,Humid Continental,10,Autumn,12.62,29.6,-5.3,71.77,0.16,1240.41,11.45,56.88,61
Chicago,USA,North America,Humid Continental,11,Autumn,5.4,23.4,-14.9,72.67,0.09,640.13,11.56,35.91,102
Chicago,USA,North America,Humid Continental,12,Winter,0.57,17.6,-23.2,74.5,0.09,674.0,11.05,21.67,213
Delhi,India,Asia,Semi-Arid,1,Winter,4.98,17.6,-8.8,49.28,0.05,11.11,10.23,42.9,2
Delhi,India,Asia,Semi-Arid,2,Winter,8.87,23.8,-4.7,48.57,0.04,8.23,10.46,54.86,2
Delhi,India,Asia,Semi-Arid,3,Spring,15.16,26.2,2.4,50.98,0.07,14.53,10.45,72.05,4
Delhi,India,Asia,Semi-Arid,4,Spring,20.8,32.4,3.9,47.63,0.03,5.84,10.58,80.11,2
Delhi,India,Asia,Semi-Arid,5,Spring,25.96,40.0,14.7,49.3,0.05,10.86,10.13,74.6,1
Delhi,India,Asia,Semi-Arid,6,Summer,26.58,38.7,14.1,53.08,0.04,8.59,10.15,71.63,2
Delhi,India,Asia,Semi-Arid,7,Summer,25.02,37.0,11.8,49.24,0.07,14.4,9.55,75.6,1
Delhi,India,Asia,Semi-Arid,8,Summer,21.16,35.1,5.7,52.54,0.05,9.64,9.73,78.22,3
Delhi,India,Asia,Semi-Arid,9,Autumn,14.67,29.4,0.4,51.17,0.05,11.04,10.52,70.05,3
Delhi,India,Asia,Semi-Arid,10,Autumn,8.07,24.6,-4.4,49.36,0.06,12.47,10.32,51.79,2
Delhi,India,Asia,Semi-Arid,11,Autumn,3.56,19.8,-9.3,51.39,0.05,9.81,9.83,38.51,1
Delhi,India,Asia,Semi-Arid,12,Winter,2.98,17.1,-14.0,50.76,0.03,6.46,9.88,37.22,3
Dubai,UAE,Asia,Desert,1,Winter,5.14,17.9,-9.0,48.32,0.06,13.55,10.27,43.63,2
Dubai,UAE,Asia,Desert,2,Winter,9.83,22.7,-3.1,52.91,0.04,8.25,9.76,56.94,2
Dubai,UAE,Asia,Desert,3,Spring,14.92,26.4,0.3,50.23,0.05,9.48,9.9,71.2,2
Dubai,UAE,Asia,Desert,4,Spring,21.22,35.9,6.5,49.42,0.04,7.73,9.69,79.47,5
Dubai,UAE,Asia,Desert,5,Spring,24.84,37.5,12.7,48.81,0.04,7.54,10.64,76.34,3
Dubai,UAE,Asia,Desert,6,Summer,27.07,42.3,10.1,50.65,0.04,7.89,10.12,70.69,4
Dubai,UAE,Asia,Desert,7,Summer,25.42,39.7,12.1,48.66,0.04,7.44,9.6,74.55,2
Dubai,UAE,Asia,Desert,8,Summer,20.37,34.3,8.7,49.9,0.06,12.87,10.09,80.02,2
Dubai,UAE,Asia,Desert,9,Autumn,15.3,27.0,3.9,48.86,0.05,10.39,10.22,72.78,2
Dubai,UAE,Asia,Desert,10,Autumn,9.29,23.9,-6.2,48.45,0.03,5.74,10.4,55.56,4
Dubai,UAE,Asia,Desert,11,Autumn,4.62,17.6,-6.6,49.5,0.04,8.58,10.68,41.49,1
Dubai,UAE,Asia,Desert,12,Winter,3.15,19.5,-11.6,49.08,0.06,13.56,10.96,37.44,2
Hong Kong,China,Asia,Humid Subtropical,1,Winter,3.99,19.0,-10.5,50.8,0.04,8.86,10.68,39.83,3
Hong Kong,China,Asia,Humid Subtropical,2,Winter,8.96,23.5,-2.7,50.63,0.03,5.26,9.57,54.47,2
Hong Kong,China,Asia,Humid Subtropical,3,Spring,14.73,29.0,4.6,48.47,0.05,9.47,9.52,71.35,3
Hong Kong,China,Asia,Humid Subtropical,4,Spring,21.23,34.9,9.4,52.35,0.05,9.09,9.96,78.28,2
Hong Kong,China,Asia,Humid Subtropical,5,Spring,25.27,37.6,12.2,49.71,0.06,11.93,10.98,74.69,2
Hong Kong,China,Asia,Humid Subtropical,6,Summer,26.75,43.0,11.1,51.17,0.06,12.53,10.42,71.34,3
Hong Kong,China,Asia,Humid Subtropical,7,Summer,25.14,36.4,12.7,49.45,0.04,8.66,10.36,75.41,0
Hong Kong,China,Asia,Humid Subtropical,8,Summer,20.48,33.7,4.4,49.33,0.05,11.1,10.06,79.21,2
Hong Kong,China,Asia,Humid Subtropical,9,Autumn,14.35,24.6,1.9,49.03,0.05,9.47,9.92,70.53,1
Hong Kong,China,Asia,Humid Subtropical,10,Autumn,9.19,22.0,-2.4,50.86,0.04,8.17,10.29,55.36,0
Hong Kong,China,Asia,Humid Subtropical,11,Autumn,5.13,18.0,-8.3,53.78,0.04,9.05,10.48,42.39,1
Hong Kong,China,Asia,Humid Subtropical,12,Winter,3.47,15.6,-10.6,51.04,0.06,13.34,10.28,37.95,3
Honolulu,USA,Oceania,Tropical Savanna,1,Winter,4.61,15.2,-10.7,52.28,0.05,11.14,10.28,41.25,2
Honolulu,USA,Oceania,Tropical Savanna,2,Winter,8.58,20.3,-6.3,49.27,0.03,5.59,11.32,53.29,3
Honolulu,USA,Oceania,Tropical Savanna,3,Spring,15.4,29.0,1.3,50.97,0.05,9.66,11.07,71.72,3
Honolulu,USA,Oceania,Tropical Savanna,4,Spring,21.52,36.2,9.3,50.1,0.05,9.94,10.76,79.62,3
Honolulu,USA,Oceania,Tropical Savanna,5,Spring,24.7,36.7,11.7,49.28,0.05,10.05,9.88,77.1,4
Honolulu,USA,Oceania,Tropical Savanna,6,Summer,26.81,39.3,12.0,47.74,0.04,8.35,10.8,71.23,3
Honolulu,USA,Oceania,Tropical Savanna,7,Summer,25.54,38.4,14.0,50.52,0.04,9.24,10.5,73.84,1
Honolulu,USA,Oceania,Tropical Savanna,8,Summer,21.61,35.3,8.1,49.34,0.05,10.27,9.95,78.86,3
Honolulu,USA,Oceania,Tropical Savanna,9,Autumn,14.81,28.3,-1.8,51.43,0.03,5.37,10.27,70.28,3
Honolulu,USA,Oceania,Tropical Savanna,10,Autumn,9.06,21.6,-3.5,46.55,0.05,11.01,10.68,55.76,0
Honolulu,USA,Oceania,Tropical Savanna,11,Autumn,4.5,16.5,-9.3,49.76,0.08,15.09,10.47,41.13,1
Honolulu,USA,Oceania,Tropical Savanna,12,Winter,2.96,19.9,-8.0,51.44,0.03,6.99,10.7,36.12,2
Houston,USA,North America,Humid Subtropical,1,Winter,11.69,28.6,-10.0,72.76,0.19,1459.09,8.66,55.17,70
Houston,USA,North America,Humid Subtropical,2,Winter,14.06,28.9,-10.9,75.96,0.14,962.95,9.16,59.22,53
Houston,USA,North America,Humid Subtropical,3,Spring,17.91,29.7,-1.9,76.07,0.18,1383.32,9.09,68.28,116
Houston,USA,North America,Humid Subtropical,4,Spring,20.68,32.8,4.1,75.81,0.23,1725.82,9.3,71.54,86
Houston,USA,North America,Humid Subtropical,5,Spring,24.39,38.0,10.4,79.46,0.29,2242.36,8.5,68.62,123
Houston,USA,North America,Humid Subtropical,6,Summer,27.26,41.3,10.0,78.29,0.25,1835.7,7.09,63.14,110
Houston,USA,North America,Humid Subtropical,7,Summer,28.19,41.0,12.0,78.07,0.24,1839.44,6.37,60.88,103
Houston,USA,North America,Humid Subtropical,8,Summer,28.35,41.7,8.1,75.96,0.24,1837.87,6.21,61.04,169
Houston,USA,North America,Humid Subtropical,9,Autumn,26.0,39.3,4.0,76.79,0.25,1862.86,6.21,66.35,172
Houston,USA,North America,Humid Subtropical,10,Autumn,21.95,35.3,-4.3,72.26,0.18,1392.23,7.56,70.98,140
Houston,USA,North America,Humid Subtropical,11,Autumn,16.89,30.0,-8.3,75.51,0.15,1143.9,7.72,65.96,86
Houston,USA,North America,Humid Subtropical,12,Winter,14.13,27.9,-10.8,75.89,0.2,1555.67,8.18,59.95,75
Istanbul,Turkey,Europe,Mediterranean,1,Winter,4.6,17.0,-8.6,49.66,0.05,11.81,9.97,41.95,4
Istanbul,Turkey,Europe,Mediterranean,2,Winter,8.55,27.8,-8.1,49.52,0.03,5.54,11.1,52.64,6
Istanbul,Turkey,Europe,Mediterranean,3,Spring,15.23,29.9,2.2,49.8,0.03,7.26,10.14,71.73,1
Istanbul,Turkey,Europe,Mediterranean,4,Spring,21.48,34.3,9.4,49.85,0.04,7.81,10.05,79.27,2
Istanbul,Turkey,Europe,Mediterranean,5,Spring,25.67,38.2,13.6,47.98,0.03,5.49,10.11,74.55,1
Istanbul,Turkey,Europe,Mediterranean,6,Summer,26.61,40.6,14.4,49.12,0.05,9.22,10.51,72.19,2
Istanbul,Turkey,Europe,Mediterranean,7,Summer,25.15,38.8,12.0,48.55,0.06,11.55,9.75,76.39,5
Istanbul,Turkey,Europe,Mediterranean,8,Summer,20.66,31.8,7.4,51.55,0.05,9.78,10.38,78.1,1
Istanbul,Turkey,Europe,Mediterranean,9,Autumn,15.23,27.1,1.5,49.85,0.05,11.07,10.45,72.89,5
